ds,yhat,yhat_lower,yhat_upper
2024-01-01,18.98422678897292,13.993058738686699,24.1532767742844
2024-01-02,18.897457618282303,13.946433220055397,23.571193891260826
2024-01-03,16.970684261552666,11.779761681087678,21.585571422139374
2024-01-04,17.419933923332234,12.671646288707075,22.215175085377602
2024-01-05,18.32893447532309,13.595785956576865,22.83364781579377
2024-01-06,18.85436750786706,13.981562931564875,23.916835297436595
2024-01-07,17.846380839629006,12.86406281551449,22.82713403376098
2024-01-08,19.1976729098538,14.428240655374735,24.01545269138267
2024-01-09,19.11090372979672,14.053723126771132,24.088478716650084
2024-01-10,17.18413036111956,12.627561213579678,21.929623073594172
2024-01-11,17.633380010958085,12.694912515294423,22.460533179433803
2024-01-12,18.542380559068533,13.934066996214558,23.552142986547626
2024-01-13,19.067813604497946,14.381132222876689,24.15372457191519
2024-01-14,18.05982694913957,13.60195807715058,22.989733530808568
2024-01-15,19.411119033556,14.582436619860701,24.498465083521292
2024-01-16,19.324349867625106,14.074171314874407,24.16326285024698
2024-01-17,17.397576515650275,12.940023946339334,22.08522122006307
2024-01-18,17.846826182190917,13.01570360172319,22.50804007374948
2024-01-19,18.75582674323787,13.690450926399478,23.66662261776049
2024-01-20,19.28125978483754,14.544357703869355,24.167071926098266
2024-01-21,18.273273125654296,13.25739738455512,23.141745772681784
2024-01-22,19.62456522249217,14.572882908196327,24.312883141071744
2024-01-23,19.537796069045154,14.749481471729737,24.53992674717765
2024-01-24,17.611022729564205,12.831475990619099,22.578745139175215
2024-01-25,18.06027241749468,13.114515947219227,22.64729298990499
2024-01-26,18.969273003700874,14.040910772615401,23.79519452448081
2024-01-27,19.49470607045766,14.708158672013733,24.25963995749945
2024-01-28,18.486719550825892,13.768422928258266,23.72993869315665
2024-01-29,19.838011770961028,14.893392114341394,24.985338869939774
2024-01-30,19.75124274081543,15.215395643462768,24.901719163045893
2024-01-31,17.824469717986382,13.150012198471828,22.416538726160567
2024-02-01,18.27371971366032,12.961797435951633,22.816197559073753
2024-02-02,19.18316473938993,14.421591410929471,23.94469648024669
2024-02-03,19.709042245667284,14.634548097865647,24.425887150160158
2024-02-04,18.701500051163023,14.201474812820878,23.487016054313518
2024-02-05,20.053791330985128,15.525609778216095,25.11986416277446
2024-02-06,19.96802136052035,15.329463117485146,24.777776426933933
2024-02-07,18.042247204023592,13.399289837440765,22.989907943040322
2024-02-08,18.49430562092122,13.848256628351372,23.163707832033783
2024-02-09,19.406114936092084,14.558031426371429,24.16694063837936
2024-02-10,19.934356731817026,15.100696231312652,25.05430093380761
2024-02-11,18.93178547886901,14.12922191698565,24.007908394319344
2024-02-12,20.288492965688533,15.474162337865243,25.173286526706356
2024-02-13,20.207139202225264,15.296775381794038,24.993297136568895
2024-02-14,18.28855404584056,13.581843946742662,22.983075397297817
2024-02-15,18.745991907961137,13.748421168641356,23.456648623255322
2024-02-16,19.66318066835389,14.950850197507686,24.548005017814358
2024-02-17,20.199538964743766,15.15408342781834,24.710196488268586
2024-02-18,19.20247756035277,14.208153856268028,23.979870010929478
2024-02-19,20.56469489572971,15.72938929017751,25.50834909586623
2024-02-20,20.491612254491088,15.706077562168028,25.604937006309246
2024-02-21,18.578525427213084,13.381366615488,23.268448559571972
2024-02-22,19.041461618444266,14.108475513896074,23.770615258588812
2024-02-23,19.9664712567263,15.320837922903245,24.995510202808028
2024-02-24,20.507913375559394,15.618300905128898,25.040447887284284
2024-02-25,19.518026603390723,14.414756470957204,24.242458880973786
2024-02-26,20.887418570990892,16.059964920109334,25.218949327876448
2024-02-27,20.81874928830478,15.93933592880585,25.85871034240556
2024-02-28,18.911838371920652,13.97256164222666,23.757248273876034
2024-02-29,19.38095047403974,14.200973278967332,23.96782138170319
2024-03-01,20.309813474432552,15.569630362053646,24.95962106001212
2024-03-02,20.856079195489784,16.450966780150832,25.162168975969855
2024-03-03,19.868925215763372,14.87792723107832,24.51787620543286
2024-03-04,21.24104997580984,16.21540158331232,26.00972730286456
2024-03-05,21.17511451214181,16.206437895044076,26.244290289870307
2024-03-06,19.26917486243766,14.17470037006777,24.3976180304089
2024-03-07,19.739258231241553,15.262709245492712,24.663033931897733
2024-03-08,20.669092499255715,15.717763060160143,25.579079250740353
2024-03-09,21.21535924781786,16.275875018129675,26.48729102220637
2024-03-10,20.228206295596088,15.165495360432146,25.160754163578886
2024-03-11,21.600332095919235,16.466361962050435,26.468887193694954
2024-03-12,21.534396645949315,16.406698038100565,26.574622232831544
2024-03-13,19.62845700994959,14.336922691905658,24.20384299557409
2024-03-14,20.098540399184014,14.762743582246209,24.434098696123762
2024-03-15,21.028374686696246,16.327187748366416,25.82086255938326
2024-03-16,21.57464145475428,16.466162105658977,26.649340621429786
2024-03-17,20.587488522034832,15.616755515499342,25.368356717435592
2024-03-18,21.959614329080345,16.796559770352538,26.37899985651172
2024-03-19,21.89367888584261,16.887775173677337,27.047023677719135
2024-03-20,19.98773925657247,15.298415569541712,25.306711584971712
2024-03-21,20.45782264580639,15.992569887165939,25.2998975836115
2024-03-22,21.38765693331927,16.439538891998836,26.259050710888214
